n_estimators,max_samples,max_features,contamination,humidity_threshold,predicted_anomalies,precision,recall,f1,fpr,TP,FP,FN,TN
300,0.6,1.0,0.005,10,105,0.6571428571428571,0.8625,0.745945945945946,0.004148421295229315,69,36,11,8642
300,0.8,1.0,0.005,10,105,0.6571428571428571,0.8625,0.745945945945946,0.004148421295229315,69,36,11,8642
300,0.6,1.0,0.005,15,102,0.6568627450980392,0.8375,0.7362637362637363,0.004033187370361835,67,35,13,8643
300,0.8,1.0,0.005,15,102,0.6568627450980392,0.8375,0.7362637362637363,0.004033187370361835,67,35,13,8643
300,0.6,1.0,0.005,5,116,0.6206896551724138,0.9,0.7346938775510204,0.005070292694169164,72,44,8,8634
300,0.8,1.0,0.005,5,116,0.6206896551724138,0.9,0.7346938775510204,0.005070292694169164,72,44,8,8634
300,0.6,1.0,0.005,20,101,0.6534653465346535,0.825,0.7292817679558011,0.004033187370361835,66,35,14,8643
300,0.6,1.0,0.005,25,101,0.6534653465346535,0.825,0.7292817679558011,0.004033187370361835,66,35,14,8643
300,0.8,1.0,0.005,20,101,0.6534653465346535,0.825,0.7292817679558011,0.004033187370361835,66,35,14,8643
300,0.8,1.0,0.005,25,101,0.6534653465346535,0.825,0.7292817679558011,0.004033187370361835,66,35,14,8643
300,0.6,1.0,0.01,10,140,0.5,0.875,0.6363636363636364,0.00806637474072367,70,70,10,8608
300,0.6,1.0,0.01,5,151,0.48344370860927155,0.9125,0.6320346320346321,0.008988246139663517,73,78,7,8600
300,0.6,1.0,0.01,15,137,0.49635036496350365,0.85,0.6267281105990783,0.007951140815856189,68,69,12,8609
300,0.6,1.0,0.01,20,136,0.49264705882352944,0.8375,0.6203703703703703,0.007951140815856189,67,69,13,8609
300,0.6,1.0,0.01,25,136,0.49264705882352944,0.8375,0.6203703703703703,0.007951140815856189,67,69,13,8609
300,0.8,1.0,0.01,10,146,0.4794520547945205,0.875,0.6194690265486725,0.008757778289928554,70,76,10,8602
300,0.8,1.0,0.01,5,157,0.46496815286624205,0.9125,0.6160337552742616,0.009679649688868404,73,84,7,8594
300,0.8,1.0,0.01,15,143,0.4755244755244755,0.85,0.6098654708520179,0.008642544365061074,68,75,12,8603
300,0.8,1.0,0.01,20,142,0.47183098591549294,0.8375,0.6036036036036037,0.008642544365061074,67,75,13,8603
300,0.8,1.0,0.01,25,142,0.47183098591549294,0.8375,0.6036036036036037,0.008642544365061074,67,75,13,8603
300,0.8,1.0,0.02,5,242,0.32231404958677684,0.975,0.484472049689441,0.01889836367826688,78,164,2,8514
300,0.6,1.0,0.02,5,237,0.3206751054852321,0.95,0.4794952681388013,0.01855266190366444,76,161,4,8517
300,0.8,1.0,0.02,10,233,0.3218884120171674,0.9375,0.4792332268370607,0.018206960129061995,75,158,5,8520
300,0.6,1.0,0.02,10,227,0.32158590308370044,0.9125,0.4755700325732899,0.017746024429592073,73,154,7,8524
300,0.8,1.0,0.02,15,230,0.3173913043478261,0.9125,0.47096774193548385,0.018091726204194514,73,157,7,8521
300,0.6,1.0,0.02,15,224,0.3169642857142857,0.8875,0.46710526315789475,0.017630790504724592,71,153,9,8525
300,0.6,1.0,0.02,20,224,0.3169642857142857,0.8875,0.46710526315789475,0.017630790504724592,71,153,9,8525
300,0.6,1.0,0.02,25,224,0.3169642857142857,0.8875,0.46710526315789475,0.017630790504724592,71,153,9,8525
300,0.8,1.0,0.02,20,229,0.314410480349345,0.9,0.46601941747572817,0.018091726204194514,72,157,8,8521
300,0.8,1.0,0.02,25,229,0.314410480349345,0.9,0.46601941747572817,0.018091726204194514,72,157,8,8521
