temperature_threshold,humidity_max_residual,pressure_max_residual,multivariate_detected,multivariate_total,multivariate_recall,accuracy,precision,recall,f1,fpr,TP,FP,FN,TN,added_alerts,baseline_f1,baseline_recall,baseline_fpr
8,5,1.0,6,7,0.8571428571428571,0.9942909340031971,0.625,0.9375,0.75,0.005185526619036644,75,45,5,8633,15,0.745945945945946,0.8625,0.004148421295229315
8,10,1.0,7,7,1.0,0.994176752683261,0.6178861788617886,0.95,0.7487684729064039,0.005415994468771606,76,47,4,8631,18,0.745945945945946,0.8625,0.004148421295229315
8,15,1.0,7,7,1.0,0.994176752683261,0.6178861788617886,0.95,0.7487684729064039,0.005415994468771606,76,47,4,8631,18,0.745945945945946,0.8625,0.004148421295229315
10,10,1.0,4,7,0.5714285714285714,0.9944051153231331,0.6347826086956522,0.9125,0.7487179487179487,0.004839824844434202,73,42,7,8636,10,0.745945945945946,0.8625,0.004148421295229315
10,10,2.0,4,7,0.5714285714285714,0.9944051153231331,0.6347826086956522,0.9125,0.7487179487179487,0.004839824844434202,73,42,7,8636,10,0.745945945945946,0.8625,0.004148421295229315
10,10,3.0,4,7,0.5714285714285714,0.9944051153231331,0.6347826086956522,0.9125,0.7487179487179487,0.004839824844434202,73,42,7,8636,10,0.745945945945946,0.8625,0.004148421295229315
10,10,5.0,4,7,0.5714285714285714,0.9944051153231331,0.6347826086956522,0.9125,0.7487179487179487,0.004839824844434202,73,42,7,8636,10,0.745945945945946,0.8625,0.004148421295229315
10,15,1.0,4,7,0.5714285714285714,0.9944051153231331,0.6347826086956522,0.9125,0.7487179487179487,0.004839824844434202,73,42,7,8636,10,0.745945945945946,0.8625,0.004148421295229315
10,15,2.0,4,7,0.5714285714285714,0.9944051153231331,0.6347826086956522,0.9125,0.7487179487179487,0.004839824844434202,73,42,7,8636,10,0.745945945945946,0.8625,0.004148421295229315
10,15,3.0,4,7,0.5714285714285714,0.9944051153231331,0.6347826086956522,0.9125,0.7487179487179487,0.004839824844434202,73,42,7,8636,10,0.745945945945946,0.8625,0.004148421295229315
10,15,5.0,4,7,0.5714285714285714,0.9944051153231331,0.6347826086956522,0.9125,0.7487179487179487,0.004839824844434202,73,42,7,8636,10,0.745945945945946,0.8625,0.004148421295229315
8,5,2.0,6,7,0.8571428571428571,0.994176752683261,0.6198347107438017,0.9375,0.746268656716418,0.005300760543904126,75,46,5,8632,16,0.745945945945946,0.8625,0.004148421295229315
8,5,3.0,6,7,0.8571428571428571,0.994176752683261,0.6198347107438017,0.9375,0.746268656716418,0.005300760543904126,75,46,5,8632,16,0.745945945945946,0.8625,0.004148421295229315
8,5,5.0,6,7,0.8571428571428571,0.994176752683261,0.6198347107438017,0.9375,0.746268656716418,0.005300760543904126,75,46,5,8632,16,0.745945945945946,0.8625,0.004148421295229315
8,8,1.0,6,7,0.8571428571428571,0.994176752683261,0.6198347107438017,0.9375,0.746268656716418,0.005300760543904126,75,46,5,8632,16,0.745945945945946,0.8625,0.004148421295229315
8,2,1.0,3,7,0.42857142857142855,0.9944051153231331,0.6371681415929203,0.9,0.7461139896373057,0.00472459091956672,72,41,8,8637,8,0.745945945945946,0.8625,0.004148421295229315
10,5,0.5,3,7,0.42857142857142855,0.9944051153231331,0.6371681415929203,0.9,0.7461139896373057,0.00472459091956672,72,41,8,8637,8,0.745945945945946,0.8625,0.004148421295229315
10,5,1.0,3,7,0.42857142857142855,0.9944051153231331,0.6371681415929203,0.9,0.7461139896373057,0.00472459091956672,72,41,8,8637,8,0.745945945945946,0.8625,0.004148421295229315
